2020-09-11 23:19:02,677 [Worker-195] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:19:30,491 [Worker-188] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2020-09-11 23:19:31,851 [Worker-188] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: camino:myWebProjBackend:1.0.0 @ C:\Dropbox DATA\Dropbox\03_개발 자료\03_자바 프로젝트 백업\25_MyWebProject_backend\myWebProjBackend\pom.xml.
2020-09-11 23:19:33,914 [Worker-188] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /myWebProjBackend/src/main/java
2020-09-11 23:19:33,915 [Worker-188] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /myWebProjBackend/src/main/resources
2020-09-11 23:19:33,916 [Worker-188] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /myWebProjBackend/src/test/java
2020-09-11 23:19:33,917 [Worker-188] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /myWebProjBackend/src/test/resources
2020-09-11 23:19:35,012 [Worker-188] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for myWebProjBackend
2020-09-11 23:19:35,031 [Worker-188] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2020-09-11 23:19:35,923 [Worker-196] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:19:35,927 [Worker-196] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 18 resources
2020-09-11 23:19:36,048 [Worker-196] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:19:36,051 [Worker-196] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-11 23:19:36,052 [Worker-196] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of myWebProjBackend
2020-09-11 23:19:36,052 [Worker-196] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for myWebProjBackend
2020-09-11 23:19:36,061 [Worker-196] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:20:13,817 [Worker-195] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for myWebProjBackend
2020-09-11 23:20:14,094 [Worker-192] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:20:14,096 [Worker-192] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 18 resources
2020-09-11 23:20:14,187 [Worker-192] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:20:14,189 [Worker-192] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-11 23:20:14,189 [Worker-192] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of myWebProjBackend
2020-09-11 23:20:14,190 [Worker-192] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for myWebProjBackend
2020-09-11 23:20:14,197 [Worker-192] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
